Sample	OTU1	OTU2	OTU3	OTU6	OTU7	OTU9	OTU15	OTU17	OTU18	OTU20	OTU21	OTU27	OTU29	OTU40	OTU52	OTU53	OTU61	OTU69	OTU104	OTU116	OTU401
N26	3.1578947368421053	26.44950213371266	13.092460881934567	1.6842105263157894	0.03698435277382646	1.2517780938833571	5.724039829302987	0.03413940256045519	1.934566145092461	0.21621621621621623	0.008534850640113797	2.1052631578947367	0.19630156472261734	0.04551920341394026	0.18776671408250356	0.28165007112375534	0.1337126600284495	0.26173541963015645	0.49217638691322907	0.13655761024182075	0.025604551920341393
N27	1.8075491759702287	20.101600803355186	5.859767263276035	13.367594069348455	0.0413491641561817	3.018488983401264	2.9121625612853683	0.0767913048614803	6.615866264989072	0.643865556146258	0.0059070234508831	1.9315966684387738	0.6734006734006733	0.3662354539547522	0.0472561876070648	0.6852147203024396	0.2658160552897395	0.1949317738791423	0.27172307874062257	0.3248862897985705	0.0295351172544155
N28	0.22206472950626033	22.423812898653438	4.795653201039452	15.950862272619892	0.08504606661941885	1.8237656508386486	1.984408221119773	0.07087172218284904	3.614457831325301	0.5905976848570754	0.004724781478856603	1.6017009213323885	0.6378454996456413	0.11339475549255847	0.004724781478856603	1.785967399007796	0.14174344436569808	0.08977084809827546	0.6142215922513584	0.22206472950626033	0.028348688873139617
N29	5.52849129022734	24.391054030115146	10.687924416888102	4.543105993504577	0.04428697962798937	3.089016829052259	3.506052553882492	0.0959551225273103	5.008119279598465	0.7713315618541482	0.003690581635665781	1.3433717153823443	0.9743135518157661	0.0775022143489814	0.23619722468260998	0.43917921464422793	0.26203129613227044	0.23250664304694418	0.31369943903159137	0.3173900206672572	0.09226454089164453
N30	0.17120844628334997	13.73591097160793	5.492937651590812	12.166500214010558	0.12840633471251248	0.774004850905978	1.6336139249536312	0.03923526893993437	5.385932372663718	0.5849621914681125	0.0035668426309031246	4.758168069624768	1.5729776002282778	0.04636895420174062	0.0035668426309031246	1.9546297617349124	0.2461121415323156	0.1605079183906406	1.744186046511628	0.2140105578541875	0.03566842630903125
N31	18.616209308104654	13.095956547978274	3.9831019915509955	8.67975433987717	0.31595015797507897	2.776101388050694	6.020803010401505	0.3692001846000923	2.339451169725585	1.5833007916503958	0.010650005325002663	0.8165004082502042	0.4082502041251021	0.1917000958500479	0.6141503070751535	0.26625013312506657	0.03905001952500976	0.09230004615002307	0.37985018992509495	0.1633000816500408	0.017750008875004438
W1	0.5711226128859539	0.4908084954488667	0.13831875780831698	0.044618954131715155	0.053542744958058185	0.013385686239514546	0.0	0.053542744958058185	0.026771372479029092	0.022309477065857578	0.049080849544886666	0.058004640371229696	0.0	0.022309477065857578	0.00892379082634303	0.00892379082634303	0.3524897376405497	0.0	0.0	0.00892379082634303	0.00892379082634303
W2	0.3469991003727027	0.11566636679090092	0.0	0.0	0.0	0.0	0.012851818532322323	0.03855545559696697	0.025703637064644645	0.14137000385554557	0.03855545559696697	0.0	0.012851818532322323	0.0	0.0	0.0	0.30844364477573577	0.0	0.012851818532322323	0.0	0.0
W3	0.2652519893899204	0.13925729442970822	0.03315649867374005	0.046419098143236075	0.00663129973474801	0.0	0.0	0.00663129973474801	0.0	0.01326259946949602	0.01989389920424403	0.01326259946949602	0.0	0.0	0.00663129973474801	0.0	0.15251989389920426	0.0	0.0	0.0	0.0
W4	5.991379310344827	0.12392241379310345	0.016163793103448277	0.0	0.15086206896551724	0.02693965517241379	0.0	0.04310344827586207	0.005387931034482759	0.010775862068965518	0.016163793103448277	0.010775862068965518	0.010775862068965518	0.0	0.06465517241379311	0.016163793103448277	0.1939655172413793	0.0	0.0	0.0	0.005387931034482759
